Temp;fitted;Species;Site;MHWDays;Year ;Size ;Impacted
24,5152;22,2145;Corallium;Pzzu_cor;NA;NA;NA;NA
24,5657;21,0568;Corallium;Pzzu_cor;NA;NA;NA;NA
24,6162;19,9451;Corallium;Pzzu_cor;NA;NA;NA;NA
24,6667;18,8785;Corallium;Pzzu_cor;NA;NA;NA;NA
24,7172;17,8559;Corallium;Pzzu_cor;NA;NA;NA;NA
24,7677;16,8765;Corallium;Pzzu_cor;NA;NA;NA;NA
24,8182;15,9392;Corallium;Pzzu_cor;NA;NA;NA;NA
24,8687;15,0432;Corallium;Pzzu_cor;NA;NA;NA;NA
24,9192;14,1876;Corallium;Pzzu_cor;NA;NA;NA;NA
24,9697;13,3713;Corallium;Pzzu_cor;NA;NA;NA;NA
25;12,5934;Corallium;Pzzu_cor;NA;NA;NA;NA
25,0707;11,8531;Corallium;Pzzu_cor;NA;NA;NA;NA
25,1212;11,1493;Corallium;Pzzu_cor;NA;NA;NA;NA
25,1717;10,4811;Corallium;Pzzu_cor;NA;NA;NA;NA
25,2222;9,8477;Corallium;Pzzu_cor;7;2017;0,14;No
25,2727;9,248;Corallium;Pzzu_cor;NA;NA;NA;NA
25,3232;8,6812;Corallium;Pzzu_cor;NA;NA;NA;NA
25,3737;8,1463;Corallium;Pzzu_cor;NA;NA;NA;NA
25,4242;7,6423;Corallium;Pzzu_cor;NA;NA;NA;NA
25,4747;7,1685;Corallium;Pzzu_cor;NA;NA;NA;NA
25,5253;6,7238;Corallium;Pzzu_cor;NA;NA;NA;NA
25,5758;6,3074;Corallium;Pzzu_cor;NA;NA;NA;NA
25,6263;5,9183;Corallium;Pzzu_cor;NA;NA;NA;NA
25,6768;5,5556;Corallium;Pzzu_cor;NA;NA;NA;NA
25,7273;5,2184;Corallium;Pzzu_cor;NA;NA;NA;NA
25,7778;4,9058;Corallium;Pzzu_cor;NA;NA;NA;NA
25,8283;4,6169;Corallium;Pzzu_cor;NA;NA;NA;NA
25,8788;4,3509;Corallium;Pzzu_cor;NA;NA;NA;NA
25,9293;4,1067;Corallium;Pzzu_cor;32;2009;0,419;Yes
25,9798;3,8836;Corallium;Pzzu_cor;NA;NA;NA;NA
26,0303;3,6806;Corallium;Pzzu_cor;NA;NA;NA;NA
26,0808;3,4968;Corallium;Pzzu_cor;NA;NA;NA;NA
26,1313;3,3314;Corallium;Pzzu_cor;NA;NA;NA;NA
